Title of Publication,Authors,Year of Publication/Posting for Preprints,Study Design/Method of Analysis (https://research.library.gsu.edu/c.php?g=115595&p=755213),Primary and or Secondary Outcome Variable,General Primary Outcome,Rationale/Main Goal,Published in Special Issue (y/n),"Study Location (City, State, Country)",Country,Implicit/Explicit mention of Health Equity,Buckets A vs Not Bucket A,Notes,,,,,,,,,,,,,,,,,
A novel approach for monitoring tobacco use in local communities bywastewater analysis,"Castiglioni, Sara; Senta, Ivan; Borsotti, Andrea; Davoli, Enrico; Zuccato, Ettore",2014,Surveillance Study ,Urinary metabolites of nicotine detection in urban wastewater,Illicit/Nonillicit Drugs,To identify the ability of wastewater to identify nicotine metabolites and estimate the nubmer of cigarttes smoked as compared to population surveys,No,"Milan, Italy",Italy,None,Bucket A,Discusses the genral potentail for wastewater to be used for illciit drug monitoring,,Maybe,,,,,,,,,,,,,,,
Parallel deployment of passive and composite samplers for surveillance andvariant profiling of SARS-CoV-2 in sewage,"Cha, Gyuhyon; Graham, Katherine E; Zhu, Kevin J; Rao, Gouthami; Lindner, Blake G; Kocaman, Kumru; Woo, Seongwook; D'amico, Isabelle; Bingham, Lilia R; Fischer, Jamie M; Flores, Camryn I; Spencer, John W; Yathiraj, Pranav; Chung, Hayong; Biliya, Shweta; Djeddar, Naima; Burton, Liza J; Mascuch, Samantha J; Brown, Joe; Bryksin, Anton; Pinto, Ameet; Hatt, Janet K; Konstantinidis, Konstantinos T",2022,Surveillance Study ,"SARS-CoV-2 N1 and N2, as well as a fecal strength indicator, PMMoV, by ddRT-PCR and applied tiled amplicon sequencing of the SARS-CoV-2 genome",COVID-19,To identify optimal sampling strategies for sewage surveillance on college campuses (i.e. passive sampling with Moore swabs vs time-weighted composite grab) ,No,USA,USA,None,Bucket A,"When attempting to match wastewater to clinical data, acknowledged that since students had to opt into clinical testing, it was not fully representative",,,,,,,,,,,,,,,,,
"Building health system resilience and pandemic preparedness usingwastewater-based epidemiology from SARS-CoV-2 monitoring in Bengaluru,India","Chaudhuri, Angela; Pangaria, Aditya; Sodhi, Chhavi; Kumar, Nitish, V; Harshe, Shirish; Parikh, Neha; Shridhar, Varsha",2023,Surveillance Study ,SARS-CoV-2 RNA samples from wastewater,COVID-19,To employ an equity based approach to wastewater surveillance for COVID-19 in India ,No,"Bengaluru, India ",India,Explicit,Not Bucket A ,"Active consideration of potential discrimination in site selection, made an effort to identify areas, connected to shanty towns without proper access to waste management facilities, additionally ensured that data is publically accesible",,,,,,,,,,,,,,,,,
Advancing the Use of Fecal Sludge for Timelier and Better-QualityEpidemiological Data in Low- and Middle-Income Countries for PandemicPrevention,"Chigwechokha, Petros; Street, Renée; Holm, Rochelle H",2022,Viewpoint,NA,NA,To describe how to use fecal sludge for timlier/better quality epidemiological data in LMICs for pandemic preparedness and prevention,"Yes (Special Issue: Data Science for Advancing Environmental Science, Engineering, and Technology)",NA,NA,Explicit,Not Bucket A ,"Discussion of need for better quality epidemiligcal data, and how that is acutely needed in LMICs, discussion of the various barriers to wastewater surveillance",,,,,,,,,,,,,,,,,
A nationwide indicator to smooth and normalize heterogeneous SARS-CoV-2RNA data in wastewater,"Cluzel, Nicolas; Courbariaux, Marie; Wang, Siyun; Moulin, Laurent; Wurtzer, Sébastien; Bertrand, Isabelle; Laurent, Karine; Monfort, Patrick; Gantzer, Christophe; Guyader, Soizick Le; Boni, Mickaël; Mouchel, Jean-Marie; Maréchal, Vincent; Nuel, Grégory; Maday, Yvon; Obépine consortium",2021,Surveillance Study ,SARS-CoV-2 RNA samples from wastewater and wastewater indicator,COVID-19,To identify the effectiveness of a wastewater indicator in smoothing trends in SARS-CoV-2 Surveillance,No,France,France,None,Bucket A,,,,,,,,,,,,,,,,,,
Urinary concentrations of bisphenol analogues in the south of Chinapopulation and their contribution to the per capital mass loads inwastewater,"Wang, Hao; Tang, Shaoyu; Zhou, Xi; Gao, Rui; Liu, Zehua; Song, Xiaofei; Zeng, Feng",2021,Surveillance Study ,Detection of Bisphenols in wastewater treatment plants ,Chemical Exposures,To identify parent compounds of bisphenols that are detrimental for human health and provide trends in human exposure of BPs,No,"Guangzhou, China",China,None,Bucket A,,,,,,,,,,,,,,,,,,
Wastewater Sample Site Selection to Estimate Geographically ResolvedCommunity Prevalence of COVID-19: A Sampling Protocol Perspective,"Yeager, R; Holm, R H; Saurabh, K; Fuqua, J L; Talley, D; Bhatnagar, A; Smith, T",2021,Surveillance Study,Methods to develop sewer system smapling approach at community scale,NA,Identify sampling design that allows for higher spatial surveillance ,No,"Jefferson County, Kentucky",USA,Implicit,Not Bucket A,Demographically distinct catchment areas were selected with high spatial resolution,,,,,,,,,,,,,,,,,
Monitoring SARS-CoV-2 variants alterations in Nice neighborhoods bywastewater nanopore sequencing,"Rios, Géraldine; Lacoux, Caroline; Leclercq, Vianney; Diamant, Anna; Lebrigand, Kévin; Lazuka, Adèle; Soyeux, Emmanuel; Lacroix, Sébastien; Fassy, Julien; Couesnon, Aurélie; Thiery, Richard; Mari, Bernard; Pradier, Christian; Waldmann, Rainer; Barbry, Pascal",2021,Surveillance Study,SARS-CoV-2 Varaints in wastewater samples ,COVID-19,Identify diversity in SARS-CoV-2 in wastewater sampling collected in different neighborhoods,,"Nice, France",France,Implicit,Bucket A,Attempted to take into account neighborhoods ,,,,,,,,,,,,,,,,,
"Spatial, temporal and socioeconomic patterns of illicit drug use in NewZealand assessed using wastewater-based epidemiology timed to coincidewith the census","Price, Mackay; Wilkins, Chris; Tscharke, Benjamin J; Baker, Tom; Mueller, Jochen F; Trowsdale, Sam",2021,Surveillance Study,"Methamphetamine, MDMA, and Cocaine presence in wasteater ",Illicit/Nonillicit Drugs,To contextualize illicit drug usage in populations by district and socioeconomic status  ,No,New Zealand,New Zealand,Implicit,Not Bucket A,"Implies that this data can inform who/what contributes to illicit drug usage to inform health policy, but does not necessarily consider the policing implications of this work",,,,,,,,,,,,,,,,,
Satellite imagery technology in public health: analysis of site catchmentareas for assessment of poliovirus circulation in Nigeria and Niger,"Takane, Marina; Yabe, Shizu; Tateshita, Yumiko; Kobayashi, Yusuke; Hino, Akihiko; Isono, Kazuo; Okayasu, Hiromasa; Diop, Ousmane M; Tadono, Takeo",2016,Report?,Catchment area identification using satellite imagery data,NA,To understand how statelite imagery data could be used to assess catchment area for poliovirus circulation,No,Nigeria; Niger,Niger,None,Bucket A,,,,,,,,,,,,,,,,,,
Monitoring substance use in prisons: Assessing the potential value ofwastewater analysis,"van Dyken, Emma; Thai, Phong; Lai, Foon Yin; Ort, Christoph; Prichard, Jeremy; Bruno, Raimondo; Hall, Wayne; Kirkbride, K Paul; Mueller, Jochen F",2014,Review,Results of WWA of illicit drug use in Australian prisons,Illicit/Nonillicit Drugs,"To explore the benefits and limitations, as well as the ethical and practical issues in using wastewater analysis (WWA) to measure levels of substance use in prisons",No,Australia,Australia,Implicit,Not Bucket A," Disucsses the ethical implciations of WWA of illicit drug use, including issues with identifiability that could prompt unjust police crackdowns- they describe the importance of de-identfying marganizailed districts. ",,,,,,,,,,,,,,,,,
Centralized and decentralized wastewater-based epidemiology to inferCOVID-19 transmission - A brief review,"Gonçalves, José; Torres-Franco, Andrés; Rodriguéz, Elisa; Diaz, Israel; Koritnik, Tom; Silva, Priscilla Gomes da; Mesquita, João R; Trkov, Marija; Paragi, Metka; Muñoz, Raúl; García-Encina, Pedro A",2022,Review,NA,NA,Review of the the centralized and decentralized appraoches that can be used to moinotr wastewater for COVID19 amd other viruses,No,NA,NA,None,Bucket A,,,,,,,,,,,,,,,,,,
SARS-CoV-2 Wastewater Surveillance for Public Health Action,"McClary-Gutierrez, Jill S; Mattioli, Mia C; Marcenac, Perrine; Silverman, Andrea I; Boehm, Alexandria B; Bibby, Kyle; Balliet, Michael; de Los Reyes, Francis L, 3rd; Gerrity, Daniel; Griffith, John F; Holden, Patricia A; Katehis, Dimitrios; Kester, Greg; LaCross, Nathan; Lipp, Erin K; Meiman, Jonathan; Noble, Rachel T; Brossard, Dominique; McLellan, Sandra L",2021,Review ,NA,NA,Discuss the limitations oppurtunities and challenges of SARA-CoV-2 wastewater data in public health action,No,NA,NA,None ,Bucket A,"Discussed the ability for wastewater to supplement existing biases in our surveillance system, but did not include social scientistis in their panel of experts used to create this work (participants only included environmental microbiology, engineering, wastewater, and public health experts and public health agencies) ",,,,,,,,,,,,,,,,,
An analysis of ethical issues in using wastewater analysis to monitorillicit drug use,"Hall, Wayne; Prichard, Jeremy; Kirkbride, Paul; Bruno, Raimondo; Thai, Phong K; Gartner, Coral; Lai, Foon Yin; Ort, Christoph; Mueller, Jochen F",2012,Review,NA,NA,"To discuss ethical issues that may arise in using WWA to monitor illicit drug use in the general population and in entertainment precincts, prisons, schools and work-places",No,NA ,NA ,Implicit,Not Bucket A,"Suggests that small catchment areas could indirectly affect communties by introducing stigma, but does not consider there to be major ethical issues",,,,,,,,,,,,,,,,,
Wastewater monitoring in tourist cities as potential sentinel sites for near real-time dynamics of imported SARS-CoV-2 variants,"Sangsanont, Jatuwat; Rattanakul, Surapong; Makkaew, Prasert; Precha, Nopadol; Rukthanapitak, Pratchaya; Sresung, Montakarn; Siri, Yadpiroon; Kitajima, Masaaki; Takeda, Tomoko; Haramoto, Eiji; Puenpa, Jiratchaya; Wanlapakorn, Nasamon; Poovorawan, Yong; Mongkolsuk, Skorn; Sirikanchana, Kwanrawee",2023,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To identify hotspots to serve as sentinel sites for WBE and determine whether chosen sentinel sites reflect clinical distribution patterns,No,"Bangkok, Thailand;Phuket, Thailand",Thailand,None,Bucket A,,,,,,,,,,,,,,,,,,
Safer at school early alert: an observational study of wastewater andsurface monitoring to detect COVID-19 in elementary schools,"Fielding-Miller, Rebecca; Karthikeyan, Smruthi; Gaines, Tommi; Garfein, Richard S; Salido, Rodolfo A; Cantu, Victor J; Kohn, Laura; Martin, Natasha K; Wynn, Adriane; Wijaya, Carrissa; Flores, Marlene; Omaleki, Vinton; Majnoonian, Araz; Gonzalez-Zuniga, Patricia; Nguyen, Megan; Vo, Anh V; Le, Tina; Duong, Dawn; Hassani, Ashkan; Tweeten, Samantha; Jepsen, Kristen; Henson, Benjamin; Hakim, Abbas; Birmingham, Amanda; De Hoff, Peter; Mark, Adam M; Nasamran, Chanond A; Rosenthal, Sara Brin; Moshiri, Niema; Fisch, Kathleen M; Humphrey, Greg; Farmer, Sawyer; Tubb, Helena M; Valles, Tommy; Morris, Justin; Kang, Jaeyoung; Khaleghi, Behnam; Young, Colin; Akel, Ameen D; Eilert, Sean; Eno, Justin; Curewitz, Ken; Laurent, Louise C; Rosing, Tajana; Knight, Rob;",2023,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,to determine the effectiveness and accuracy of community-based passive wastewater and surface (environmental) surveillance to detect SARS-CoV-2 infection in neighborhood schools compared to weekly diagnostic (PCR) testing,No,"San Diego, California",USA,Explicit,Not Bucket A, Discusses how sampling processing costs vary across laboratories and some schools may be in counties without similar access that has implications for equity,,,,,,,,,,,,,,,,,
"What poo tells us: wastewater surveillance comes of age amid covid,monkeypox, and polio","Nelson, Bryn",2022,Feature,"Report of the role of sewage surveillance amidst threats of covid, monkeypox and polio",NA,,No,NA,NA,None,Bucket A,,,,,,,,,,,,,,,,,,
Detection of SARS-CoV-2 in Wastewater Northeast of Mexico City: Strategyfor Monitoring and Prevalence of COVID-19,"González-Reyes, José Roberto; Hernández-Flores, María de la Luz; Paredes-Zarco, Jesús Eduardo; Téllez-Jurado, Alejandro; Fayad-Meneses, Omar; Carranza-Ramírez, Lamán",2021,Surveillance Study ,SARS-CoV-2 RNA samples from wastewater,COVID-19,To determine prevaelnce of infection and obtain a range of COVID-19 cases in the main metropolitan zones of Mexico City,No,"Mexico City, Mexico",Mexico,None,Bucket A,,,,,,,,,,,,,,,,,,
"One-year surveillance of SARS-CoV-2 in wastewater from vulnerable urbancommunities in metropolitan São Paulo, Brazil","Barbosa, Mikaela Renata Funada; Garcia, Suzi Cristina; Bruni, Antonio de Castro; Machado, Flávio Silva; de Oliveira, Roberto Xavier; Dropa, Milena; da Costa, Antonio Charlys; Leal, Elcio; Brandão, Carlos Jesus; da Silva, Renan Lourenço Oliveira; Iko, Beatriz Yukie; Kondo, Victor Kenji Matsuoka; de Araújo, Ronalda Silva; da Silveira, Vanessa Barbosa; de Andrade, Tatiane Montes; Nunes, Danilo Rosa; Janini, Luiz Mário Ramos; Braconi, Carla Torres; Maricato, Juliana Terzi; Sato, Maria Inês Zanoli",2022,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To determine impact of COVID-19 in vulnerable urban communtiies in metropolitan Sao Paulo,No,"Sao Paulo, Brazil",Brazil,Implicit,Not Bucket A,Highlights specific focus on urban/slum communties with limited surveillance,,,,,,,,,,,,,,,,,
"""Waste Not, Want Not"" - Leveraging Sewer Systems and Wastewater-BasedEpidemiology for Drug Use Trends and Pharmaceutical Monitoring","Erickson, Timothy B; Endo, Noriko; Duvallet, Claire; Ghaeli, Newsha; Hess, Kaitlyn; Alm, Eric J; Matus, Mariana; Chai, Peter R",2021,Review,NA,NA,"To provide an overview of wastewater sampling techniques, the role of medical toxicologist, frontiers in research, methamphetamine and stimulant assay development, and appropriate pitfalls and limitations",No,NA,NA,Implicit,Not Bucket A,Discuss implications of this work for drug use monitoring ,,,,,,,,,,,,,,,,,
"SARS-CoV-2 RNA surveillance in large to small centralized wastewatertreatment plants preceding the third COVID-19 resurgence in Bangkok,Thailand","Sangsanont, Jatuwat; Rattanakul, Surapong; Kongprajug, Akechai; Chyerochana, Natcha; Sresung, Montakarn; Sriporatana, Nonnarit; Wanlapakorn, Nasamon; Poovorawan, Yong; Mongkolsuk, Skorn; Sirikanchana, Kwanrawee",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To evaluate the applicability of SARS-CoV-2 RNA monitoring in wastewater (n = 132) to inform COVID-19 infection in the city of Bangkok, Thailand using CDC N1 and N2 RT-qPCR assays",No,"Bangkok, Thailand",Thailand,None,Bucket A ,Discussion of applicability of wastewater in LMIC vs HIC settings,,,,,,,,,,,,,,,,,
Wastewater surveillance uncovers regional diversity and dynamics ofSARS-CoV-2 variants across nine states in the USA,"Fontenele, Rafaela S; Yang, Yiyan; Driver, Erin M; Magge, Arjun; Kraberger, Simona; Custer, Joy M; Dufault-Thompson, Keith; Cox, Erin; Newell, Melanie Engstrom; Varsani, Arvind; Halden, Rolf U; Scotch, Matthew; Jiang, Xiaofang
",2023,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To evaluate new bioinformatic analuses using CoVdist in the analysis of WBE data ,No,"Arizona, USA; Georgia,USA; Illinois,USA; Kentucky,USA' New Jersey,USA; New Mexico,USA; Oregon,USA; Texas,USA; Washington, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Secondary transmission of SARS-CoV-2 through wastewater: Concerns andtactics for treatment to effectively control the pandemic,"Thakur, Amrit Kumar; Sathyamurthy, Ravishankar; Velraj, R; Lynch, I; Saidur, R; Pandey, A K; Sharshir, Swellam W; Kabeel, Abd Elnaby; Hwang, Jang-Yeon; GaneshKumar, P",2021,Review,NA,NA,"To emphasize the severe issue of virus transmission through wastewater and create societal awareness, authors present a state of the art critical review on transmission of SARS-CoV-2 in wastewater and the potential remedial strategies to effectively control the viral spread and safeguard society",No,NA,NA,None,Bucket A,Some discussion on how wastewater surveillance should be tailored to LMIC/high density populations,,,,,,,,,,,,,,,,,
The Rapid Assessment of Aggregated Wastewater Samples for GenomicSurveillance of SARS-CoV-2 on a City-Wide Scale,"Rouchka, Eric C; Chariker, Julia H; Saurabh, Kumar; Waigel, Sabine; Zacharias, Wolfgang; Zhang, Mei; Talley, Daymond; Santisteban, Ian; Puccio, Madeline; Moyer, Sarah; Holm, Rochelle H; Yeager, Ray A; Sokoloski, Kevin J; Fuqua, Joshua; Bhatnagar, Aruni; Smith, Ted",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,To detail the results of a collaborative effort between public health and metropolitan wastewater management authorities and the University of Louisville to monitor the SARS-CoV-2 pandemic through the monitoring of aggregate wastewater samples over a period of 28 weeks,Yes,"Louiseville, Kentucky, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Reflection of Socioeconomic Changes in Wastewater: Licit and Illicit DrugUse Patterns,"Thomaidis, Nikolaos S; Gago-Ferrero, Pablo; Ort, Christoph; Maragou, Niki C; Alygizakis, Nikiforos A; Borova, Viola L; Dasenaki, Marilena E",2016,Surveillance Study,Drug concentration in influent wastewater samples,Illicit/Nonillicit Drugs,"s to use the tools offered by sewagebased epidemiology and quantify the effects of the economic crisis on the use of various classes of licit and illicit drugs, and correlate with social parameters ",No,Greece,Greece,Implicit,Not Bucket A,attempted to understand the effects of severe socioeconomic change on patterns of licit and illicit drug use,,,,,,,,,,,,,,,,,
Suitability of aircraft wastewater for pathogen detection and publichealth surveillance,"Jones, Davey L; Rhymes, Jennifer M; Wade, Matthew J; Kevill, Jessica L; Malham, Shelagh K; Grimsley, Jasmine M S; Rimmer, Charlotte; Weightman, Andrew J; Farkas, Kata",2023,Survey ,Survey data of individual likelihood to defecate,NA,To determine the feasiability of aircraft wastewater for the detection of SARS-CoV-2 cases ,No,United Kingdom ,UK,None,Bucket A,,,,,,,,,,,,,,,,,,
Development of Wastewater Pooled Surveillance of Severe Acute RespiratorySyndrome Coronavirus 2 (SARS-CoV-2) from Congregate Living Settings,"Colosi, Lisa M; Barry, Katie E; Kotay, Shireen M; Porter, Michael D; Poulter, Melinda D; Ratliff, Cameron; Simmons, William; Steinberg, Limor I; Wilson, D Derek; Morse, Rena; Zmick, Paul; Mathers, Amy J",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To determine the sensitivity of wastewater sruveillance for detecting SARS-CoV-2, and determine wehther it can distinguish new infections from convalescent shedding  in congreate living settings",,"Virginia, USA",USA,None,Bucket A,,,,,,,,,,,,,,,,,,
Environmental Surveillance for Noroviruses in Selected South AfricanWastewaters 2015-2016: Emergence of the Novel GII.17,"Mabasa, V V; Meno, K D; Taylor, M B; Mans, Janet",2018,Surveillance Study,NoV GI and GII presence in wastewater,Norovirus,"To assess whether wastewater samples could be used for routine surveillance of NoVs, including GII.4 variants",No,South Africa,South Africa,None,Bucket A,,,,,,,,,,,,,,,,,,
Assessing spatial distribution of COVID-19 prevalence in Brazil usingdecentralised sewage monitoring,"Mota, Cesar R; Bressani-Ribeiro, Thiago; Araújo, Juliana C; Leal, Cíntia D; Leroy-Freitas, Deborah; Machado, Elayne C; Espinosa, Maria Fernanda; Fernandes, Luyara; Leão, Thiago L; Chamhum-Silva, Lucas; Azevedo, Lariza; Morandi, Thiago; Freitas, Gabriel Tadeu O; Costa, Michelle S; Carvalho, Beatriz O; Reis, Marcus Tulius P; Melo, Marília C; Ayrimoraes, Sergio R; Chernicharo, Carlos A L",2021,Surveillance Study,SARS-CoV-2 RNA samples from wastewater and Health Vulnerability Index of different sampling areas,COVID-19,To show that decentralised monitoring of SARS-CoV-2 RNA in sewage can be used to assess the distribution of COVID-19 prevalence in the city,No,"Belo Horizonte, Brazil",,Implicit,Not Bucket A,Identifies the health vulnerability of sampled sites to rather than simply identifying burden alone,,,,,,,,,,,,,,,,,
"Simulated 2017 nationwide sampling at 13,940 major U.S. sewage treatmentplants to assess seasonal population bias in wastewater-based epidemiology","Hart, Olga E; Halden, Rolf U",2020,Simulation ,NA,NA,"To simulate repeated sampling at all major U.S. wastewater treatment plants under constant biomarker loading conditions, to explore the potential sensitivity of WBE for generating skewed data",No,USA,USA,Implicit,Not Bucket A, Considers socieconomic/geographic differences,,,,,,,,,,,,,,,,,
"Surveillance of SARS-CoV-2 in nine neighborhood sewersheds in DetroitTri-County area, United States: Assessing per capita SARS-CoV-2estimations and COVID-19 incidence","Li, Yabing; Miyani, Brijen; Zhao, Liang; Spooner, Maddie; Gentry, Zach; Zou, Yangyang; Rhodes, Geoff; Li, Hui; Kaye, Andrew; Norton, John; Xagoraraki, Irene",2022,Surveillance Study,SARS-CoV-2 RNA samples from wastewater,COVID-19,"To screen population biomarkers for wastewater SARS-CoV-2 normalization and compared the normalized SARS-CoV-2 values
across locations with different demographic characteristics in southeastern Michigan",No,"Detroit, Michigan, USA",USA,Implicit,Not Bucket A,Considers demographic components of sampling sites,,,,,,,,,,,,,,,,,
Young population consume twice as much artificial sweetener than thegeneral population - A wastewater-based assessment in China,"Li, Dandan; Zheng, Qiuda; Wang, Zhe; Ren, Yuan; Thomas, Kevin V; Thai, Phong K",2022,Surveillance Study,Artificial sweetner concentration in wastewater,Artificial Sweetner,To understand artificial sweetener consumption patterns and levels in different demographics in order to formulate public health policies on controlling sugar consumption,No,South China,China,Implicit,Not Bucket A,Considers consumption of sweetners among different age groups,,,,,,,,,,,,,,,,,
